"query", "class"
"What is the current strength of judges in the Supreme Court?",1
"How many judges are there in Supreme Court as of now?",1
"What is the total number of judge positions in the Supreme Court?",1
"How many judge positions are there currently for the Supreme Court?",1
"What is the total  judge count for the Supreme Court up to this date?",1
"How many judges are there officially in Supreme Court as of today?",1
"What is the Supreme Court's total judge strength as of now?",1
"What is the total number of judges for the Supreme Court to date?",1
"As of today, what is the strength of judges in the Supreme Court?",1
"What is the Supreme Court's total number of judges as of now?",1
"How many judge positions does the Supreme Court have currently?",1
"What is the total judge strength for the Supreme Court at present?",1
"What is the  strength of judges in the Supreme Court till now?",1
"How many judges are there in total for the Supreme Court up to this date?",1
"What is the full strength of judges in the Supreme Court?",1
"How many judge positions are there in the Supreme Court as of now?",1
"What is the total number of Supreme Court judge positions  to date?",1
"How many judges are there in the Supreme Court as of this date?",1
"Can you provide the list of all judges of the Supreme Court?", 2
"Show me the complete list of judges in the Supreme Court.", 2
"Please display the list of all judges for the Supreme Court.", 2
"What is the list of all judges in the Supreme Court?", 2
"Could you show me the list of every Supreme Court judge?", 2
"Provide me with the list of all judges in the Supreme Court.", 2
"Can I see the full list of judges of the Supreme Court?", 2
"List all the judges who are for the Supreme Court.", 2
"Show the list of all Supreme Court judges who are.", 2
"Please show me the complete list of Supreme Court judges.", 2
"Could you give me the list of all judges of the Supreme Court?", 2
"Show the list of every judge in the Supreme Court.", 2
"Can you list all the Supreme Court judges who are?", 2
"What is the full list of all judges in the Supreme Court?", 2
"Please provide the list of every Supreme Court judge.", 2
"Can you show the list of all the judges in the Supreme Court?", 2
"Display the list of all judges in the Supreme Court.", 2
"Could you list every judge in the Supreme Court?", 2
"Can I get the list of all Supreme Court judges?", 2
"Please show me the list of all Supreme Court judges.", 2
"Can you tell me about Puneet Dhankar as a Supreme Court judge?", 3
"I’d like to know more about Puneet Dhankar in his role as a Supreme Court judge.", 3
"Please provide information about Puneet Dhankar as a judge of the Supreme Court.", 3
"What can you tell me about Puneet Dhankar as a Supreme Court judge?", 3
"Tell me about Puneet Dhankar position as a judge in the Supreme Court.", 3
"Can I get details about Puneet Dhankar as a Supreme Court judge?", 3
"I want to learn more about Puneet Dhankar as a judge of the Supreme Court.", 3
"What information do you have on Puneet Dhankar as a Supreme Court judge?", 3
"Please tell me about Puneet Dhankar in the context of being a Supreme Court judge.", 3
"I want to find out about Puneet Dhankar as a judge in the Supreme Court.", 3
"Can you provide details about Puneet Dhankar role as a Supreme Court judge?", 3
"I’m looking for information on Puneet Dhankar as a judge of the Supreme Court.", 3
"What details do you have on Puneet Dhankar as a Supreme Court judge?", 3
"Tell me what you know about Puneet Dhankar as a judge in the Supreme Court.", 3
"Could you inform me about Puneet Dhankar as a Supreme Court judge?", 3
"I’m interested in learning about Puneet Dhankar as a Supreme Court judge.", 3
"Please give me information about Puneet Dhankar role in the Supreme Court as a judge.", 3
"What can you share about Puneet Dhankar as a judge in the Supreme Court?", 3
"I need to know more about Puneet Dhankar as a Supreme Court judge.", 3
"Tell me more about Puneet Dhankar position as a judge of the Supreme Court.", 3
